State,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
AK,553290.0,570193.0,588736.0,599434.0,603308.0,604412.0,608569.0,612968.0,619933.0,624779.0,627963.0,633714.0,642337.0,648414.0,659286.0,666946.0,675302.0,680300.0,687455.0,698895.0,713868.0,723375.0,730307.0,735132.0
AL,4050055.0,4099156.0,4154014.0,4214202.0,4260229.0,4296800.0,4331103.0,4367935.0,4404701.0,4430141.0,4452173.0,4467634.0,4480089.0,4503491.0,4530729.0,4569805.0,4628981.0,4672840.0,4718206.0,4757938.0,4785570.0,4801627.0,4817528.0,4833722.0
AR,2356586.0,2383144.0,2415984.0,2456303.0,2494019.0,2535399.0,2572109.0,2601091.0,2626289.0,2651860.0,2678588.0,2691571.0,2705927.0,2724816.0,2749686.0,2781097.0,2821761.0,2848650.0,2874554.0,2896843.0,2922280.0,2938506.0,2949828.0,2959373.0
AZ,3684097.0,3788576.0,3915740.0,4065440.0,4245089.0,4432499.0,4586940.0,4736990.0,4883342.0,5023823.0,5160586.0,5273477.0,5396255.0,5510364.0,5652404.0,5839077.0,6029141.0,6167681.0,6280362.0,6343154.0,6408790.0,6468796.0,6551149.0,6626624.0
CA,29959515.0,30470736.0,30974659.0,31274928.0,31484435.0,31696582.0,32018834.0,32486010.0,32987675.0,33499204.0,33987977.0,34479458.0,34871843.0,35253159.0,35574576.0,35827943.0,36021202.0,36250311.0,36604337.0,36961229.0,37333601.0,37668681.0,37999878.0,38332521.0
CO,3307618.0,3387119.0,3495939.0,3613734.0,3724168.0,3826653.0,3919972.0,4018293.0,4116639.0,4226018.0,4326921.0,4425687.0,4490406.0,4528732.0,4575013.0,4631888.0,4720423.0,4803868.0,4889730.0,4972195.0,5048196.0,5118400.0,5189458.0,5268367.0
CT,3291967.0,3302895.0,3300712.0,3309175.0,3316121.0,3324144.0,3336685.0,3349348.0,3365352.0,3386401.0,3411777.0,3432835.0,3458749.0,3484336.0,3496094.0,3506956.0,3517460.0,3527270.0,3545579.0,3561807.0,3579210.0,3588948.0,3591765.0,3596080.0
DC,605321.0,600870.0,597567.0,595302.0,589240.0,580519.0,572379.0,567739.0,565232.0,570220.0,572046.0,574504.0,573158.0,568502.0,567754.0,567136.0,570681.0,574404.0,580236.0,592228.0,605125.0,619624.0,633427.0,646449.0
DE,669567.0,683080.0,694927.0,706378.0,717545.0,729735.0,740978.0,751487.0,763335.0,774990.0,786373.0,795699.0,806169.0,818003.0,830803.0,845150.0,859268.0,871749.0,883874.0,891730.0,899711.0,907985.0,917053.0,925749.0
FL,13033307.0,13369798.0,13650553.0,13927185.0,14239444.0,14537875.0,14853360.0,15186304.0,15486559.0,15759421.0,16047515.0,16356966.0,16689370.0,17004085.0,17415318.0,17842038.0,18166990.0,18367842.0,18527305.0,18652644.0,18846054.0,19083482.0,19320749.0,19552860.0
GA,6512602.0,6653005.0,6817203.0,6978240.0,7157165.0,7328413.0,7501069.0,7685099.0,7863536.0,8045965.0,8227303.0,8377038.0,8508256.0,8622793.0,8769252.0,8925922.0,9155813.0,9349988.0,9504843.0,9620846.0,9713248.0,9810181.0,9915646.0,9992167.0
HI,1113491.0,1136754.0,1158613.0,1172838.0,1187536.0,1196854.0,1203755.0,1211640.0,1215233.0,1210300.0,1213519.0,1225948.0,1239613.0,1251154.0,1273569.0,1292729.0,1309731.0,1315675.0,1332213.0,1346717.0,1363731.0,1376897.0,1390090.0,1404054.0
IA,2781018.0,2797613.0,2818401.0,2836972.0,2850746.0,2867373.0,2880001.0,2891119.0,2902872.0,2917634.0,2929067.0,2931997.0,2934234.0,2941999.0,2953635.0,2964454.0,2982644.0,2999212.0,3016734.0,3032870.0,3050314.0,3064102.0,3075039.0,3090416.0
ID,1012384.0,1041316.0,1071685.0,1108768.0,1145140.0,1177322.0,1203083.0,1228520.0,1252330.0,1275674.0,1299430.0,1319962.0,1340372.0,1363380.0,1391802.0,1428241.0,1468669.0,1505105.0,1534320.0,1554439.0,1570718.0,1583930.0,1595590.0,1612136.0
IL,11453316.0,11568964.0,11694184.0,11809579.0,11912585.0,12008437.0,12101997.0,12185715.0,12271847.0,12359020.0,12434161.0,12488445.0,12525556.0,12556006.0,12589773.0,12609903.0,12643955.0,12695866.0,12747038.0,12796778.0,12839695.0,12855970.0,12868192.0,12882135.0
IN,5557798.0,5616388.0,5674547.0,5739019.0,5793526.0,5851459.0,5906013.0,5955267.0,5998881.0,6044970.0,6091866.0,6127760.0,6155967.0,6196638.0,6233007.0,6278616.0,6332669.0,6379599.0,6424806.0,6459325.0,6489965.0,6516336.0,6537782.0,6570902.0
KS,2481349.0,2498722.0,2532395.0,2556547.0,2580513.0,2601008.0,2614554.0,2635292.0,2660598.0,2678338.0,2693681.0,2702162.0,2713535.0,2723004.0,2734373.0,2745299.0,2762931.0,2783785.0,2808076.0,2832704.0,2858910.0,2869548.0,2885398.0,2893957.0
KY,3694048.0,3722328.0,3765469.0,3812206.0,3849088.0,3887427.0,3919536.0,3952747.0,3985391.0,4018053.0,4049021.0,4068132.0,4089875.0,4117170.0,4146101.0,4182742.0,4219239.0,4256672.0,4289878.0,4317074.0,4347698.0,4366869.0,4379730.0,4395295.0
LA,4221532.0,4253279.0,4293003.0,4316428.0,4347481.0,4378779.0,4398877.0,4421072.0,4440344.0,4460811.0,4471885.0,4477875.0,4497267.0,4521042.0,4552238.0,4576628.0,4302665.0,4375581.0,4435586.0,4491648.0,4545392.0,4575197.0,4602134.0,4625470.0
MA,6022639.0,6018470.0,6028709.0,6060569.0,6095241.0,6141445.0,6179756.0,6226058.0,6271838.0,6317345.0,6361104.0,6397634.0,6417206.0,6422565.0,6412281.0,6403290.0,6410084.0,6431559.0,6468967.0,6517613.0,6563263.0,6606285.0,6645303.0,6692824.0
MD,4799770.0,4867641.0,4923369.0,4971889.0,5023060.0,5070033.0,5111986.0,5157328.0,5204464.0,5254509.0,5311034.0,5374691.0,5440389.0,5496269.0,5546935.0,5592379.0,5627367.0,5653408.0,5684965.0,5730388.0,5787193.0,5840241.0,5884868.0,5928814.0
ME,1231719.0,1237081.0,1238508.0,1242302.0,1242662.0,1243481.0,1249060.0,1254774.0,1259127.0,1266808.0,1277072.0,1285692.0,1295960.0,1306513.0,1313688.0,1318787.0,1323619.0,1327040.0,1330509.0,1329590.0,1327366.0,1327844.0,1328501.0,1328302.0
MI,9311319.0,9400446.0,9479065.0,9540114.0,9597737.0,9676211.0,9758645.0,9809051.0,9847942.0,9897116.0,9952450.0,9991120.0,10015710.0,10041152.0,10055315.0,10051137.0,10036081.0,10001284.0,9946889.0,9901591.0,9876149.0,9874589.0,9882519.0,9895622.0
MN,4389857.0,4440859.0,4495572.0,4555956.0,4610355.0,4660180.0,4712827.0,4763390.0,4813412.0,4873481.0,4933692.0,4982796.0,5018935.0,5053572.0,5087713.0,5119598.0,5163555.0,5207203.0,5247018.0,5281203.0,5310337.0,5347108.0,5379646.0,5420380.0
MO,5128880.0,5170800.0,5217101.0,5271175.0,5324497.0,5378247.0,5431553.0,5481193.0,5521765.0,5561948.0,5607285.0,5641142.0,5674825.0,5709403.0,5747741.0,5790300.0,5842704.0,5887612.0,5923916.0,5961088.0,5996063.0,6010065.0,6024522.0,6044171.0
MS,2578897.0,2598733.0,2623734.0,2655100.0,2688992.0,2722659.0,2748085.0,2777004.0,2804834.0,2828408.0,2848353.0,2852994.0,2858681.0,2868312.0,2889010.0,2905943.0,2904978.0,2928350.0,2947806.0,2958774.0,2970047.0,2977886.0,2986450.0,2991207.0
MT,800204.0,809680.0,825770.0,844761.0,861306.0,876553.0,886254.0,889865.0,892431.0,897508.0,903773.0,906961.0,911667.0,919630.0,930009.0,940102.0,952692.0,964706.0,976415.0,983982.0,990527.0,997600.0,1005494.0,1015165.0
