Year,State,Candidate,Party,Candidate Votes,Total Votes,Description,GDP
2000,ALABAMA,"BUSH, GEORGE W.",REPUBLICAN,941173,1666272,All industry total ,120522.6
2000,ALASKA,"BUSH, GEORGE W.",REPUBLICAN,167398,285560,All industry total ,26934.0
2000,ARIZONA,"BUSH, GEORGE W.",REPUBLICAN,781652,1532016,All industry total ,165735.6
2000,ARKANSAS,"BUSH, GEORGE W.",REPUBLICAN,472940,921781,All industry total ,69176.3
2000,CALIFORNIA,"GORE, AL",DEMOCRAT,5861203,10965822,All industry total ,1354791.3
2000,COLORADO,"BUSH, GEORGE W.",REPUBLICAN,883748,1741368,All industry total ,179303.3
2000,CONNECTICUT,"GORE, AL",DEMOCRAT,816015,1459525,All industry total ,165523.4
2000,DELAWARE,"GORE, AL",DEMOCRAT,180068,327529,All industry total ,43559.6
2000,DISTRICT OF COLUMBIA,"GORE, AL",DEMOCRAT,171923,201894,All industry total ,61267.7
2000,FLORIDA,"BUSH, GEORGE W.",REPUBLICAN,2912790,5963110,All industry total ,490094.4
2000,GEORGIA,"BUSH, GEORGE W.",REPUBLICAN,1419720,2583208,All industry total ,305323.7
2000,HAWAII,"GORE, AL",DEMOCRAT,205286,367951,All industry total ,41089.4
2000,IDAHO,"BUSH, GEORGE W.",REPUBLICAN,336937,501615,All industry total ,38344.1
2000,ILLINOIS,"GORE, AL",DEMOCRAT,2589026,4742108,All industry total ,486089.7
2000,INDIANA,"BUSH, GEORGE W.",REPUBLICAN,1245836,2199302,All industry total ,204147.3
2000,IOWA,"GORE, AL",DEMOCRAT,638517,1353022,All industry total ,93125.6
2000,KANSAS,"BUSH, GEORGE W.",REPUBLICAN,622332,1072216,All industry total ,85990.5
2000,KENTUCKY,"BUSH, GEORGE W.",REPUBLICAN,872520,1544106,All industry total ,114549.6
2000,LOUISIANA,"BUSH, GEORGE W.",REPUBLICAN,927871,1765656,All industry total ,132375.8
2000,MAINE,"GORE, AL",DEMOCRAT,319951,651817,All industry total ,37222.0
