Year,State,Candidate,Party,Candidate Votes,Total Votes
1976,ALABAMA,"CARTER, JIMMY",DEMOCRAT,659170,1182850
1976,ALASKA,"FORD, GERALD",REPUBLICAN,71555,123574
1976,ARIZONA,"FORD, GERALD",REPUBLICAN,418642,742719
1976,ARKANSAS,"CARTER, JIMMY",DEMOCRAT,498604,767535
1976,CALIFORNIA,"FORD, GERALD",REPUBLICAN,3882244,7803770
1976,COLORADO,"FORD, GERALD",REPUBLICAN,584278,1081440
1976,CONNECTICUT,"FORD, GERALD",REPUBLICAN,719261,1386355
1976,DELAWARE,"CARTER, JIMMY",DEMOCRAT,122461,235642
1976,DISTRICT OF COLUMBIA,"CARTER, JIMMY",DEMOCRAT,137818,168830
1976,FLORIDA,"CARTER, JIMMY",DEMOCRAT,1636000,3150631
1976,GEORGIA,"CARTER, JIMMY",DEMOCRAT,979409,1463152
1976,HAWAII,"CARTER, JIMMY",DEMOCRAT,147375,291301
1976,IDAHO,"FORD, GERALD",REPUBLICAN,204151,340932
1976,ILLINOIS,"FORD, GERALD",REPUBLICAN,2364269,4721282
1976,INDIANA,"FORD, GERALD",REPUBLICAN,1183958,2220362
1976,IOWA,"FORD, GERALD",REPUBLICAN,632864,1279303
1976,KANSAS,"FORD, GERALD",REPUBLICAN,502752,957845
1976,KENTUCKY,"CARTER, JIMMY",DEMOCRAT,615717,1167142
1976,LOUISIANA,"CARTER, JIMMY",DEMOCRAT,661365,1277383
1976,MAINE,"FORD, GERALD",REPUBLICAN,236320,482968
1976,MARYLAND,"CARTER, JIMMY",DEMOCRAT,759612,1432273
1976,MASSACHUSETTS,"CARTER, JIMMY",DEMOCRAT,1429475,2547558
1976,MICHIGAN,"FORD, GERALD",REPUBLICAN,1893742,3651590
1976,MINNESOTA,"CARTER, JIMMY",DEMOCRAT,1070440,1949931
1976,MISSISSIPPI,"CARTER, JIMMY",DEMOCRAT,381329,768390
1976,MISSOURI,"CARTER, JIMMY",DEMOCRAT,998387,1953600
1976,MONTANA,"FORD, GERALD",REPUBLICAN,173703,328734
1976,NEBRASKA,"FORD, GERALD",REPUBLICAN,359219,606749
1976,NEVADA,"FORD, GERALD",REPUBLICAN,101273,201876
