data_year,state_name,total_agencies,participation_agencies,participating_agencies_pct,nibrs_participating_agencies,nibrs_participating_agencies,covered_agencies,covered_pct,total_population,nibrs_population
1969,Michigan,304,273,0.90,0,0,0,0,8814601,0
2000,West Virginia,387,264,0.68,264,1.00,0,0,1819964,1695916
1996,Idaho,137,115,0.84,111,0.97,0,0,1223729,1169932
2008,Indiana,366,304,0.83,0,0,0,0,6388695,0
1968,Washington,125,116,0.93,0,0,0,0,3298781,0
1994,Massachusetts,418,262,0.63,1,0.00,0,0,6072045,18428
1982,Washington,205,165,0.80,0,0,0,0,4258819,0
2009,District of Columbia,2,2,1.00,1,0.50,0,0,599657,0
1997,Texas,982,923,0.94,6,0.01,0,0,19533128,164482
1999,Kansas,388,2,0.01,0,0,0,0,2654899,0
1997,Indiana,352,259,0.74,0,0,0,0,5878552,0
1967,Guam,1,0,0,0,0,0,0,65600,0
1996,Mississippi,219,113,0.52,0,0,0,0,2716105,0
1971,West Virginia,123,46,0.37,0,0,0,0,1758559,0
1998,Vermont,83,64,0.77,37,0.58,0,0,591860,418582
1973,Rhode Island,51,44,0.86,0,0,0,0,973000,0
2020,Vermont,103,88,0.85,88,1.00,0,0,645759,623347
2014,Nebraska,330,224,0.68,73,0.33,0,0,1952916,730123
2000,New Hampshire,228,106,0.46,0,0,0,0,1327707,0
1991,New Mexico,111,68,0.61,0,0,0,0,1569748,0
2000,Florida,630,518,0.82,0,0,0,0,16049613,0
2013,Mississippi,234,131,0.56,4,0.03,0,0,2992553,143858
1995,New Hampshire,223,85,0.38,0,0,0,0,1294619,0
1999,Alabama,401,282,0.70,0,0,0,0,4416008,0
2002,Kentucky,556,25,0.04,15,0.60,1,0.04,4118154,217498
2006,Pennsylvania,1553,1071,0.69,0,0,1,0.00,13007252,0
2020,Montana,138,108,0.78,102,0.94,0,0,1105634,1077362
1973,Illinois,789,643,0.81,0,0,0,0,11295022,0
1993,Texas,940,879,0.94,0,0,0,0,18146658,0
1995,Idaho,137,113,0.82,110,0.97,0,0,1196047,1142581
2001,Utah,154,116,0.75,43,0.37,0,0,2387140,1553045
2014,Utah,172,134,0.78,67,0.50,0,0,3147155,2222438
2012,Pennsylvania,1724,1422,0.82,0,0,8,0.01,13474390,0
1973,Utah,77,58,0.75,0,0,0,0,1206673,0
2009,Utah,164,126,0.77,60,0.48,0,0,2893460,2058584
2006,Montana,132,99,0.75,93,0.94,0,0,1007609,914031
1985,Tennessee,299,228,0.76,0,0,0,0,4775964,0
2006,Kansas,432,371,0.86,357,0.96,2,0.01,2842603,2121506
2002,California,764,727,0.95,0,0,0,0,35222901,0
1998,Massachusetts,426,322,0.76,129,0.40,0,0,6164413,2182581
1985,Hawaii,17,5,0.29,0,0,0,0,1103930,0
1972,Minnesota,255,247,0.97,0,0,0,0,3901524,0
1996,Georgia,739,543,0.73,0,0,1,0.00,7457929,0
2019,Massachusetts,446,373,0.84,327,0.88,0,0,6903724,6725039
1986,Nevada,36,25,0.69,0,0,0,0,968281,0
1992,Rhode Island,53,44,0.83,0,0,0,0,1010468,0
1997,Idaho,138,118,0.86,114,0.97,0,0,1245332,1202763
2012,Utah,168,132,0.79,67,0.51,1,0.01,3054116,2151327
1999,Wisconsin,383,356,0.93,0,0,0,0,5314509,0
1971,District of Columbia,1,1,1.00,0,0,0,0,741000,0
1997,California,831,720,0.87,0,0,0,0,32362913,0
2012,Hawaii,14,4,0.29,0,0,0,0,1514307,0
1997,Louisiana,230,174,0.76,0,0,0,0,4370705,0
1974,Kentucky,443,436,0.98,0,0,0,0,3362172,0
1996,Illinois,947,6,0.01,1,0.17,0,0,11966611,144421
2016,Missouri,707,617,0.87,18,0.03,8,0.01,6171711,800951
1966,Mississippi,145,63,0.43,0,0,0,0,2355058,0
1976,Maryland,157,142,0.90,0,0,0,0,4200556,0
2001,Colorado,269,194,0.72,136,0.70,0,0,4449380,2506470
2011,Oregon,288,170,0.59,66,0.39,0,0,3933412,1127408
1977,Pennsylvania,1248,1125,0.90,0,0,10,0.01,11964148,0
1974,Pennsylvania,950,786,0.83,0,0,0,0,11929144,0
1962,Indiana,227,217,0.96,0,0,0,0,4718227,0
2022,New Hampshire,245,213,0.87,213,1.00,0,0,1413481,1378928
1975,Tennessee,229,163,0.71,0,0,0,0,4216269,0
2019,Georgia,795,529,0.67,395,0.75,1,0.00,10887362,7904073
1982,Idaho,115,97,0.84,0,0,1,0.01,987754,0
2012,Oklahoma,426,345,0.81,238,0.69,2,0.01,3877002,1329873
1980,Guam,1,0,0,0,0,0,0,86926,0
